n,m,a1,a2,a3,a4
78,6,468,546,474,84
40,8,320,360,328,48
68,5,340,408,345,73
65,9,585,650,594,74
94,2,188,282,190,96
31,4,124,155,128,35
48,8,384,432,392,56
28,5,140,168,145,33
42,4,168,210,172,46
24,3,72,96,75,27
12,4,48,60,52,16
65,4,260,325,264,69
66,2,132,198,134,68
88,2,176,264,178,90
13,8,104,117,112,21
90,9,810,900,819,99
97,2,194,291,196,99
29,9,261,290,270,38
46,3,138,184,141,49
76,9,684,760,693,85
20,7,140,160,147,27
84,5,420,504,425,89
20,9,180,200,189,29
65,3,195,260,198,68
63,9,567,630,576,72
24,8,192,216,200,32
38,2,76,114,78,40
18,3,54,72,57,21
68,5,340,408,345,73
88,2,176,264,178,90
65,3,195,260,198,68
13,7,91,104,98,20
26,3,78,104,81,29
38,9,342,380,351,47
62,2,124,186,126,64
19,8,152,171,160,27
96,2,192,288,194,98
96,5,480,576,485,101
26,8,208,234,216,34
84,5,420,504,425,89
52,8,416,468,424,60
71,8,568,639,576,79
30,5,150,180,155,35
55,6,330,385,336,61
95,9,855,950,864,104
30,4,120,150,124,34
30,7,210,240,217,37
61,6,366,427,372,67
39,7,273,312,280,46
97,2,194,291,196,99
65,7,455,520,462,72
26,3,78,104,81,29
14,4,56,70,60,18
85,3,255,340,258,88
64,6,384,448,390,70
16,4,64,80,68,20
76,2,152,228,154,78
78,3,234,312,237,81
75,7,525,600,532,82
54,7,378,432,385,61
16,6,96,112,102,22
32,9,288,320,297,41
43,7,301,344,308,50
89,4,356,445,360,93
97,5,485,582,490,102
97,4,388,485,392,101
20,3,60,80,63,23
40,2,80,120,82,42
77,5,385,462,390,82
51,2,102,153,104,53
93,5,465,558,470,98
31,8,248,279,256,39
34,3,102,136,105,37
89,3,267,356,270,92
97,6,582,679,588,103
75,6,450,525,456,81
95,4,380,475,384,99
27,9,243,270,252,36
66,2,132,198,134,68
39,2,78,117,80,41
33,8,264,297,272,41
67,3,201,268,204,70
49,9,441,490,450,58
96,7,672,768,679,103
16,4,64,80,68,20
13,2,26,39,28,15
99,4,396,495,400,103
64,9,576,640,585,73
40,2,80,120,82,42
51,7,357,408,364,58
49,5,245,294,250,54
20,3,60,80,63,23
13,8,104,117,112,21
35,6,210,245,216,41
85,6,510,595,516,91
18,5,90,108,95,23
63,2,126,189,128,65
87,4,348,435,352,91
70,6,420,490,426,76
94,7,658,752,665,101
17,2,34,51,36,19
74,8,592,666,600,82
23,3,69,92,72,26
63,3,189,252,192,66
18,7,126,144,133,25
22,3,66,88,69,25
17,3,51,68,54,20
45,2,90,135,92,47
72,9,648,720,657,81
82,8,656,738,664,90
48,7,336,384,343,55
61,7,427,488,434,68
50,7,350,400,357,57
95,7,665,760,672,102
85,2,170,255,172,87
53,5,265,318,270,58
96,2,192,288,194,98
52,9,468,520,477,61
42,2,84,126,86,44
42,9,378,420,387,51
32,3,96,128,99,35
19,2,38,57,40,21
56,2,112,168,114,58
81,9,729,810,738,90
46,2,92,138,94,48
59,6,354,413,360,65
46,5,230,276,235,51
17,4,68,85,72,21
18,2,36,54,38,20
77,5,385,462,390,82
30,7,210,240,217,37
12,6,72,84,78,18
37,5,185,222,190,42
77,3,231,308,234,80
94,4,376,470,380,98
39,9,351,390,360,48
87,8,696,783,704,95
55,2,110,165,112,57
71,3,213,284,216,74
13,2,26,39,28,15
51,5,255,306,260,56
66,2,132,198,134,68
47,3,141,188,144,50
76,8,608,684,616,84
89,3,267,356,270,92
21,4,84,105,88,25
93,2,186,279,188,95
18,8,144,162,152,26
73,6,438,511,444,79
52,7,364,416,371,59
72,4,288,360,292,76
74,4,296,370,300,78
68,7,476,544,483,75
53,6,318,371,324,59
11,8,88,99,96,19
89,7,623,712,630,96
31,6,186,217,192,37
16,8,128,144,136,24
33,7,231,264,238,40
36,8,288,324,296,44
58,9,522,580,531,67
45,3,135,180,138,48
49,6,294,343,300,55
54,7,378,432,385,61
72,9,648,720,657,81
50,6,300,350,306,56
61,7,427,488,434,68
22,7,154,176,161,29
34,4,136,170,140,38
67,2,134,201,136,69
40,2,80,120,82,42
73,9,657,730,666,82
84,6,504,588,510,90
79,8,632,711,640,87
93,8,744,837,752,101
30,9,270,300,279,39
84,5,420,504,425,89
84,4,336,420,340,88
82,6,492,574,498,88
20,3,60,80,63,23
35,3,105,140,108,38
87,8,696,783,704,95
61,4,244,305,248,65
39,7,273,312,280,46
56,7,392,448,399,63
72,7,504,576,511,79
71,8,568,639,576,79
38,2,76,114,78,40
35,9,315,350,324,44
95,4,380,475,384,99
45,5,225,270,230,50
50,3,150,200,153,53
12,6,72,84,78,18
42,7,294,336,301,49
32,7,224,256,231,39
99,6,594,693,600,105
41,3,123,164,126,44
89,2,178,267,180,91
65,2,130,195,132,67
59,9,531,590,540,68
69,7,483,552,490,76
59,2,118,177,120,61
54,3,162,216,165,57
58,5,290,348,295,63
60,4,240,300,244,64
17,6,102,119,108,23
68,2,136,204,138,70
55,3,165,220,168,58
62,3,186,248,189,65
73,4,292,365,296,77
71,5,355,426,360,76
62,8,496,558,504,70
45,3,135,180,138,48
92,7,644,736,651,99
53,6,318,371,324,59
14,7,98,112,105,21
62,9,558,620,567,71
85,8,680,765,688,93
