n,m,a1,a2,a3,a4
61,67,4087,4154,4148,128
77,46,3542,3588,3619,123
72,31,2232,2263,2304,103
11,91,1001,1092,1012,102
82,67,5494,5561,5576,149
41,89,3649,3738,3690,130
23,79,1817,1896,1840,102
53,63,3339,3402,3392,116
81,60,4860,4920,4941,141
82,81,6642,6723,6724,163
56,56,3136,3192,3192,112
67,97,6499,6596,6566,164
75,49,3675,3724,3750,124
84,86,7224,7310,7308,170
35,24,840,864,875,59
20,87,1740,1827,1760,107
54,54,2916,2970,2970,108
82,68,5576,5644,5658,150
42,37,1554,1591,1596,79
44,19,836,855,880,63
40,74,2960,3034,3000,114
49,72,3528,3600,3577,121
40,67,2680,2747,2720,107
17,82,1394,1476,1411,99
33,57,1881,1938,1914,90
77,19,1463,1482,1540,96
21,20,420,440,441,41
50,30,1500,1530,1550,80
92,60,5520,5580,5612,152
48,97,4656,4753,4704,145
73,15,1095,1110,1168,88
24,20,480,500,504,44
58,54,3132,3186,3190,112
56,99,5544,5643,5600,155
69,90,6210,6300,6279,159
30,42,1260,1302,1290,72
94,87,8178,8265,8272,181
38,91,3458,3549,3496,129
22,48,1056,1104,1078,70
20,94,1880,1974,1900,114
12,47,564,611,576,59
46,67,3082,3149,3128,113
25,28,700,728,725,53
11,38,418,456,429,49
54,16,864,880,918,70
40,25,1000,1025,1040,65
43,88,3784,3872,3827,131
43,19,817,836,860,62
54,71,3834,3905,3888,125
55,42,2310,2352,2365,97
22,89,1958,2047,1980,111
76,51,3876,3927,3952,127
71,80,5680,5760,5751,151
10,86,860,946,870,96
84,63,5292,5355,5376,147
96,60,5760,5820,5856,156
99,52,5148,5200,5247,151
14,10,140,150,154,24
88,19,1672,1691,1760,107
76,93,7068,7161,7144,169
59,58,3422,3480,3481,117
47,55,2585,2640,2632,102
24,95,2280,2375,2304,119
92,15,1380,1395,1472,107
88,14,1232,1246,1320,102
43,73,3139,3212,3182,116
13,56,728,784,741,69
22,25,550,575,572,47
17,34,578,612,595,51
41,69,2829,2898,2870,110
98,86,8428,8514,8526,184
76,32,2432,2464,2508,108
18,61,1098,1159,1116,79
40,46,1840,1886,1880,86
18,85,1530,1615,1548,103
73,42,3066,3108,3139,115
13,22,286,308,299,35
38,17,646,663,684,55
77,40,3080,3120,3157,117
47,78,3666,3744,3713,125
39,96,3744,3840,3783,135
35,97,3395,3492,3430,132
25,62,1550,1612,1575,87
28,17,476,493,504,45
54,99,5346,5445,5400,153
52,39,2028,2067,2080,91
81,74,5994,6068,6075,155
15,23,345,368,360,38
71,34,2414,2448,2485,105
