n,m,a1,a2,a3,a4
9,11,99,108,110,20
2,11,22,24,33,13
4,11,44,48,55,15
8,11,88,96,99,19
9,12,108,117,120,21
3,11,33,36,44,14
9,11,99,108,110,20
2,12,24,26,36,14
2,12,24,26,36,14
9,12,108,117,120,21
7,11,77,84,88,18
9,12,108,117,120,21
7,11,77,84,88,18
6,11,66,72,77,17
4,11,44,48,55,15
1,11,11,12,22,12
7,12,84,91,96,19
5,11,55,60,66,16
4,11,44,48,55,15
6,12,72,78,84,18
6,12,72,78,84,18
2,12,24,26,36,14
3,11,33,36,44,14
8,12,96,104,108,20
2,12,24,26,36,14
3,11,33,36,44,14
4,11,44,48,55,15
5,11,55,60,66,16
1,12,12,13,24,13
8,11,88,96,99,19
8,11,88,96,99,19
7,11,77,84,88,18
4,12,48,52,60,16
1,12,12,13,24,13
9,11,99,108,110,20
2,11,22,24,33,13
9,11,99,108,110,20
2,12,24,26,36,14
8,12,96,104,108,20
9,12,108,117,120,21
5,11,55,60,66,16
5,11,55,60,66,16
7,11,77,84,88,18
5,12,60,65,72,17
1,12,12,13,24,13
9,11,99,108,110,20
6,12,72,78,84,18
9,12,108,117,120,21
2,12,24,26,36,14
1,11,11,12,22,12
6,12,72,78,84,18
9,11,99,108,110,20
1,12,12,13,24,13
2,12,24,26,36,14
7,11,77,84,88,18
6,12,72,78,84,18
6,11,66,72,77,17
1,12,12,13,24,13
6,12,72,78,84,18
3,11,33,36,44,14
5,12,60,65,72,17
5,11,55,60,66,16
3,12,36,39,48,15
2,12,24,26,36,14
8,12,96,104,108,20
7,12,84,91,96,19
1,11,11,12,22,12
7,11,77,84,88,18
9,11,99,108,110,20
3,11,33,36,44,14
7,11,77,84,88,18
8,12,96,104,108,20
2,11,22,24,33,13
5,12,60,65,72,17
3,11,33,36,44,14
7,12,84,91,96,19
5,12,60,65,72,17
7,11,77,84,88,18
7,11,77,84,88,18
6,11,66,72,77,17
2,11,22,24,33,13
8,12,96,104,108,20
1,12,12,13,24,13
3,11,33,36,44,14
6,12,72,78,84,18
9,11,99,108,110,20
3,11,33,36,44,14
7,11,77,84,88,18
7,12,84,91,96,19
2,12,24,26,36,14
7,12,84,91,96,19
7,12,84,91,96,19
1,12,12,13,24,13
5,12,60,65,72,17
5,12,60,65,72,17
2,11,22,24,33,13
4,12,48,52,60,16
7,11,77,84,88,18
4,11,44,48,55,15
2,12,24,26,36,14
6,12,72,78,84,18
4,11,44,48,55,15
9,12,108,117,120,21
2,12,24,26,36,14
2,12,24,26,36,14
1,11,11,12,22,12
6,12,72,78,84,18
4,12,48,52,60,16
2,12,24,26,36,14
7,11,77,84,88,18
5,12,60,65,72,17
7,11,77,84,88,18
1,11,11,12,22,12
1,12,12,13,24,13
5,12,60,65,72,17
8,12,96,104,108,20
1,11,11,12,22,12
8,12,96,104,108,20
9,11,99,108,110,20
5,11,55,60,66,16
2,12,24,26,36,14
2,12,24,26,36,14
5,11,55,60,66,16
3,11,33,36,44,14
4,11,44,48,55,15
8,11,88,96,99,19
2,11,22,24,33,13
2,11,22,24,33,13
9,12,108,117,120,21
2,11,22,24,33,13
5,11,55,60,66,16
3,12,36,39,48,15
2,11,22,24,33,13
3,12,36,39,48,15
8,11,88,96,99,19
4,11,44,48,55,15
7,11,77,84,88,18
7,12,84,91,96,19
3,12,36,39,48,15
7,11,77,84,88,18
9,12,108,117,120,21
7,11,77,84,88,18
9,12,108,117,120,21
8,12,96,104,108,20
2,12,24,26,36,14
8,11,88,96,99,19
9,12,108,117,120,21
6,12,72,78,84,18
4,12,48,52,60,16
8,12,96,104,108,20
9,11,99,108,110,20
9,11,99,108,110,20
8,11,88,96,99,19
9,11,99,108,110,20
7,11,77,84,88,18
2,11,22,24,33,13
6,12,72,78,84,18
5,11,55,60,66,16
6,11,66,72,77,17
2,12,24,26,36,14
7,11,77,84,88,18
2,12,24,26,36,14
9,12,108,117,120,21
2,12,24,26,36,14
8,11,88,96,99,19
1,11,11,12,22,12
7,12,84,91,96,19
2,11,22,24,33,13
4,12,48,52,60,16
3,12,36,39,48,15
3,11,33,36,44,14
6,11,66,72,77,17
7,11,77,84,88,18
7,11,77,84,88,18
2,11,22,24,33,13
8,11,88,96,99,19
9,11,99,108,110,20
6,11,66,72,77,17
5,12,60,65,72,17
7,12,84,91,96,19
7,12,84,91,96,19
9,12,108,117,120,21
5,11,55,60,66,16
3,11,33,36,44,14
8,12,96,104,108,20
4,11,44,48,55,15
2,12,24,26,36,14
7,12,84,91,96,19
4,11,44,48,55,15
5,12,60,65,72,17
3,12,36,39,48,15
2,11,22,24,33,13
8,11,88,96,99,19
6,12,72,78,84,18
9,12,108,117,120,21
7,11,77,84,88,18
3,11,33,36,44,14
3,12,36,39,48,15
6,11,66,72,77,17
2,11,22,24,33,13
9,12,108,117,120,21
6,12,72,78,84,18
5,12,60,65,72,17
2,12,24,26,36,14
2,11,22,24,33,13
9,12,108,117,120,21
2,11,22,24,33,13
3,11,33,36,44,14
8,12,96,104,108,20
8,11,88,96,99,19
9,11,99,108,110,20
3,12,36,39,48,15
1,11,11,12,22,12
2,12,24,26,36,14
6,11,66,72,77,17
4,12,48,52,60,16
5,11,55,60,66,16
4,12,48,52,60,16
3,12,36,39,48,15
1,12,12,13,24,13
7,12,84,91,96,19
5,12,60,65,72,17
2,11,22,24,33,13
7,12,84,91,96,19
1,12,12,13,24,13
6,12,72,78,84,18
1,12,12,13,24,13
4,12,48,52,60,16
7,12,84,91,96,19
7,12,84,91,96,19
2,12,24,26,36,14
9,12,108,117,120,21
9,11,99,108,110,20
8,12,96,104,108,20
6,12,72,78,84,18
4,11,44,48,55,15
5,12,60,65,72,17
4,11,44,48,55,15
6,12,72,78,84,18
8,11,88,96,99,19
6,11,66,72,77,17
5,11,55,60,66,16
6,11,66,72,77,17
3,12,36,39,48,15
3,12,36,39,48,15
4,11,44,48,55,15
7,12,84,91,96,19
1,11,11,12,22,12
9,11,99,108,110,20
6,11,66,72,77,17
2,11,22,24,33,13
4,12,48,52,60,16
7,11,77,84,88,18
4,11,44,48,55,15
4,11,44,48,55,15
6,12,72,78,84,18
9,11,99,108,110,20
9,12,108,117,120,21
8,11,88,96,99,19
2,11,22,24,33,13
1,12,12,13,24,13
5,11,55,60,66,16
6,11,66,72,77,17
3,11,33,36,44,14
6,11,66,72,77,17
1,12,12,13,24,13
3,11,33,36,44,14
5,11,55,60,66,16
7,12,84,91,96,19
8,12,96,104,108,20
6,11,66,72,77,17
6,11,66,72,77,17
8,11,88,96,99,19
8,12,96,104,108,20
1,12,12,13,24,13
3,11,33,36,44,14
2,12,24,26,36,14
2,12,24,26,36,14
6,11,66,72,77,17
4,11,44,48,55,15
2,11,22,24,33,13
9,11,99,108,110,20
9,11,99,108,110,20
1,12,12,13,24,13
5,12,60,65,72,17
8,12,96,104,108,20
5,12,60,65,72,17
3,12,36,39,48,15
1,11,11,12,22,12
5,12,60,65,72,17
2,12,24,26,36,14
5,11,55,60,66,16
3,11,33,36,44,14
5,11,55,60,66,16
1,12,12,13,24,13
3,12,36,39,48,15
8,12,96,104,108,20
5,12,60,65,72,17
4,11,44,48,55,15
3,12,36,39,48,15
1,11,11,12,22,12
5,12,60,65,72,17
3,12,36,39,48,15
5,11,55,60,66,16
3,12,36,39,48,15
1,11,11,12,22,12
9,11,99,108,110,20
2,11,22,24,33,13
3,12,36,39,48,15
5,11,55,60,66,16
9,11,99,108,110,20
7,12,84,91,96,19
4,12,48,52,60,16
2,11,22,24,33,13
5,11,55,60,66,16
3,11,33,36,44,14
3,12,36,39,48,15
4,11,44,48,55,15
7,12,84,91,96,19
7,11,77,84,88,18
4,12,48,52,60,16
7,12,84,91,96,19
6,12,72,78,84,18
1,12,12,13,24,13
6,12,72,78,84,18
3,12,36,39,48,15
2,12,24,26,36,14
1,11,11,12,22,12
4,11,44,48,55,15
5,12,60,65,72,17
5,11,55,60,66,16
7,12,84,91,96,19
4,11,44,48,55,15
8,11,88,96,99,19
9,12,108,117,120,21
8,12,96,104,108,20
7,12,84,91,96,19
3,11,33,36,44,14
3,12,36,39,48,15
1,11,11,12,22,12
9,11,99,108,110,20
3,12,36,39,48,15
