n,m,a1,a2,a3,a4
64,49,3136,3185,3200,113
36,24,864,888,900,60
79,38,3002,3040,3081,117
65,51,3315,3366,3380,116
11,20,220,240,231,31
40,74,2960,3034,3000,114
95,14,1330,1344,1425,109
45,79,3555,3634,3600,124
27,27,729,756,756,54
76,31,2356,2387,2432,107
19,66,1254,1320,1273,85
54,26,1404,1430,1458,80
46,82,3772,3854,3818,128
32,77,2464,2541,2496,109
10,66,660,726,670,76
61,39,2379,2418,2440,100
21,63,1323,1386,1344,84
58,39,2262,2301,2320,97
91,46,4186,4232,4277,137
43,31,1333,1364,1376,74
12,59,708,767,720,71
22,30,660,690,682,52
84,15,1260,1275,1344,99
37,95,3515,3610,3552,132
90,39,3510,3549,3600,129
97,24,2328,2352,2425,121
38,90,3420,3510,3458,128
10,62,620,682,630,72
66,94,6204,6298,6270,160
58,23,1334,1357,1392,81
42,94,3948,4042,3990,136
34,55,1870,1925,1904,89
47,97,4559,4656,4606,144
46,29,1334,1363,1380,75
84,15,1260,1275,1344,99
47,12,564,576,611,59
31,18,558,576,589,49
87,94,8178,8272,8265,181
30,79,2370,2449,2400,109
33,37,1221,1258,1254,70
41,16,656,672,697,57
56,65,3640,3705,3696,121
23,46,1058,1104,1081,69
45,64,2880,2944,2925,109
88,46,4048,4094,4136,134
88,85,7480,7565,7568,173
83,34,2822,2856,2905,117
20,42,840,882,860,62
72,79,5688,5767,5760,151
67,84,5628,5712,5695,151
73,13,949,962,1022,86
97,19,1843,1862,1940,116
66,46,3036,3082,3102,112
89,98,8722,8820,8811,187
92,33,3036,3069,3128,125
81,29,2349,2378,2430,110
55,10,550,560,605,65
27,41,1107,1148,1134,68
47,84,3948,4032,3995,131
42,47,1974,2021,2016,89
14,91,1274,1365,1288,105
31,25,775,800,806,56
85,76,6460,6536,6545,161
67,62,4154,4216,4221,129
28,32,896,928,924,60
49,16,784,800,833,65
98,91,8918,9009,9016,189
92,79,7268,7347,7360,171
92,24,2208,2232,2300,116
58,81,4698,4779,4756,139
43,67,2881,2948,2924,110
87,69,6003,6072,6090,156
87,66,5742,5808,5829,153
81,45,3645,3690,3726,126
93,72,6696,6768,6789,165
36,26,936,962,972,62
26,44,1144,1188,1170,70
74,61,4514,4575,4588,135
77,76,5852,5928,5929,153
84,19,1596,1615,1680,103
22,41,902,943,924,63
77,72,5544,5616,5621,149
60,88,5280,5368,5340,148
46,95,4370,4465,4416,141
72,46,3312,3358,3384,118
60,57,3420,3477,3480,117
43,28,1204,1232,1247,71
47,49,2303,2352,2350,96
46,47,2162,2209,2208,93
43,40,1720,1760,1763,83
85,47,3995,4042,4080,132
39,11,429,440,468,50
77,55,4235,4290,4312,132
94,62,5828,5890,5922,156
55,82,4510,4592,4565,137
15,70,1050,1120,1065,85
15,80,1200,1280,1215,95
57,74,4218,4292,4275,131
39,44,1716,1760,1755,83
52,66,3432,3498,3484,118
16,76,1216,1292,1232,92
20,43,860,903,880,63
94,81,7614,7695,7708,175
21,99,2079,2178,2100,120
75,61,4575,4636,4650,136
25,92,2300,2392,2325,117
23,56,1288,1344,1311,79
49,88,4312,4400,4361,137
61,63,3843,3906,3904,124
63,50,3150,3200,3213,113
40,69,2760,2829,2800,109
37,14,518,532,555,51
83,76,6308,6384,6391,159
33,56,1848,1904,1881,89
72,10,720,730,792,82
11,94,1034,1128,1045,105
80,54,4320,4374,4400,134
40,54,2160,2214,2200,94
15,59,885,944,900,74
73,49,3577,3626,3650,122
52,68,3536,3604,3588,120
95,41,3895,3936,3990,136
15,86,1290,1376,1305,101
59,60,3540,3600,3599,119
84,60,5040,5100,5124,144
78,14,1092,1106,1170,92
84,79,6636,6715,6720,163
42,65,2730,2795,2772,107
79,85,6715,6800,6794,164
60,77,4620,4697,4680,137
71,39,2769,2808,2840,110
69,34,2346,2380,2415,103
19,55,1045,1100,1064,74
57,53,3021,3074,3078,110
56,98,5488,5586,5544,154
65,55,3575,3630,3640,120
18,68,1224,1292,1242,86
38,10,380,390,418,48
97,33,3201,3234,3298,130
47,80,3760,3840,3807,127
70,91,6370,6461,6440,161
35,94,3290,3384,3325,129
86,21,1806,1827,1892,107
17,93,1581,1674,1598,110
91,88,8008,8096,8099,179
52,13,676,689,728,65
53,25,1325,1350,1378,78
44,50,2200,2250,2244,94
49,82,4018,4100,4067,131
18,75,1350,1425,1368,93
96,93,8928,9021,9024,189
32,14,448,462,480,46
91,82,7462,7544,7553,173
55,60,3300,3360,3355,115
98,54,5292,5346,5390,152
99,80,7920,8000,8019,179
38,34,1292,1326,1330,72
13,48,624,672,637,61
56,11,616,627,672,67
96,72,6912,6984,7008,168
95,50,4750,4800,4845,145
91,64,5824,5888,5915,155
92,42,3864,3906,3956,134
24,82,1968,2050,1992,106
12,43,516,559,528,55
21,34,714,748,735,55
27,39,1053,1092,1080,66
24,73,1752,1825,1776,97
25,13,325,338,350,38
95,42,3990,4032,4085,137
59,99,5841,5940,5900,158
50,38,1900,1938,1950,88
92,98,9016,9114,9108,190
79,53,4187,4240,4266,132
80,78,6240,6318,6320,158
95,11,1045,1056,1140,106
32,90,2880,2970,2912,122
99,96,9504,9600,9603,195
16,41,656,697,672,57
64,55,3520,3575,3584,119
54,73,3942,4015,3996,127
12,81,972,1053,984,93
84,21,1764,1785,1848,105
37,12,444,456,481,49
45,93,4185,4278,4230,138
69,21,1449,1470,1518,90
36,22,792,814,828,58
39,53,2067,2120,2106,92
32,23,736,759,768,55
80,28,2240,2268,2320,108
80,88,7040,7128,7120,168
26,80,2080,2160,2106,106
76,13,988,1001,1064,89
57,51,2907,2958,2964,108
72,80,5760,5840,5832,152
88,49,4312,4361,4400,137
40,11,440,451,480,51
20,68,1360,1428,1380,88
25,97,2425,2522,2450,122
37,41,1517,1558,1554,78
10,83,830,913,840,93
11,35,385,420,396,46
56,97,5432,5529,5488,153
37,37,1369,1406,1406,74
62,82,5084,5166,5146,144
70,50,3500,3550,3570,120
60,20,1200,1220,1260,80
56,16,896,912,952,72
84,20,1680,1700,1764,104
53,88,4664,4752,4717,141
43,73,3139,3212,3182,116
74,23,1702,1725,1776,97
60,83,4980,5063,5040,143
84,25,2100,2125,2184,109
74,51,3774,3825,3848,125
26,38,988,1026,1014,64
55,91,5005,5096,5060,146
66,25,1650,1675,1716,91
64,68,4352,4420,4416,132
19,98,1862,1960,1881,117
92,13,1196,1209,1288,105
91,89,8099,8188,8190,180
28,43,1204,1247,1232,71
15,64,960,1024,975,79
76,94,7144,7238,7220,170
16,94,1504,1598,1520,110
98,82,8036,8118,8134,180
31,41,1271,1312,1302,72
80,66,5280,5346,5360,146
43,77,3311,3388,3354,120
50,12,600,612,650,62
11,80,880,960,891,91
86,72,6192,6264,6278,158
30,11,330,341,360,41
64,22,1408,1430,1472,86
32,52,1664,1716,1696,84
90,64,5760,5824,5850,154
81,88,7128,7216,7209,169
79,14,1106,1120,1185,93
81,20,1620,1640,1701,101
33,40,1320,1360,1353,73
87,54,4698,4752,4785,141
64,81,5184,5265,5248,145
12,99,1188,1287,1200,111
11,49,539,588,550,60
47,49,2303,2352,2350,96
42,57,2394,2451,2436,99
71,21,1491,1512,1562,92
58,74,4292,4366,4350,132
56,73,4088,4161,4144,129
33,81,2673,2754,2706,114
93,86,7998,8084,8091,179
20,98,1960,2058,1980,118
17,90,1530,1620,1547,107
32,36,1152,1188,1184,68
43,62,2666,2728,2709,105
16,58,928,986,944,74
59,61,3599,3660,3658,120
37,15,555,570,592,52
22,63,1386,1449,1408,85
89,85,7565,7650,7654,174
92,13,1196,1209,1288,105
85,11,935,946,1020,96
69,29,2001,2030,2070,98
71,98,6958,7056,7029,169
43,98,4214,4312,4257,141
67,56,3752,3808,3819,123
69,63,4347,4410,4416,132
74,98,7252,7350,7326,172
60,71,4260,4331,4320,131
22,78,1716,1794,1738,100
74,90,6660,6750,6734,164
84,69,5796,5865,5880,153
60,25,1500,1525,1560,85
30,73,2190,2263,2220,103
38,30,1140,1170,1178,68
19,42,798,840,817,61
32,40,1280,1320,1312,72
32,15,480,495,512,47
26,41,1066,1107,1092,67
22,28,616,644,638,50
53,67,3551,3618,3604,120
29,63,1827,1890,1856,92
54,32,1728,1760,1782,86
89,81,7209,7290,7298,170
52,96,4992,5088,5044,148
60,88,5280,5368,5340,148
82,30,2460,2490,2542,112
94,98,9212,9310,9306,192
80,66,5280,5346,5360,146
71,76,5396,5472,5467,147
62,47,2914,2961,2976,109
27,48,1296,1344,1323,75
88,25,2200,2225,2288,113
58,46,2668,2714,2726,104
81,28,2268,2296,2349,109
27,80,2160,2240,2187,107
72,69,4968,5037,5040,141
94,32,3008,3040,3102,126
18,32,576,608,594,50
10,41,410,451,420,51
21,51,1071,1122,1092,72
35,44,1540,1584,1575,79
12,55,660,715,672,67
81,50,4050,4100,4131,131
96,17,1632,1649,1728,113
13,25,325,350,338,38
10,71,710,781,720,81
41,64,2624,2688,2665,105
17,16,272,288,289,33
11,79,869,948,880,90
91,99,9009,9108,9100,190
73,72,5256,5328,5329,145
33,94,3102,3196,3135,127
40,45,1800,1845,1840,85
89,69,6141,6210,6230,158
31,73,2263,2336,2294,104
59,24,1416,1440,1475,83
75,35,2625,2660,2700,110
59,51,3009,3060,3068,110
95,25,2375,2400,2470,120
60,94,5640,5734,5700,154
64,81,5184,5265,5248,145
52,22,1144,1166,1196,74
47,16,752,768,799,63
94,37,3478,3515,3572,131
75,75,5625,5700,5700,150
73,66,4818,4884,4891,139
33,38,1254,1292,1287,71
26,99,2574,2673,2600,125
48,60,2880,2940,2928,108
79,45,3555,3600,3634,124
98,42,4116,4158,4214,140
23,80,1840,1920,1863,103
44,40,1760,1800,1804,84
66,80,5280,5360,5346,146
56,39,2184,2223,2240,95
94,93,8742,8835,8836,187
65,34,2210,2244,2275,99
93,21,1953,1974,2046,114
61,84,5124,5208,5185,145
18,33,594,627,612,51
79,17,1343,1360,1422,96
11,76,836,912,847,87
35,83,2905,2988,2940,118
92,87,8004,8091,8096,179
16,87,1392,1479,1408,103
49,48,2352,2400,2401,97
74,37,2738,2775,2812,111
25,13,325,338,350,38
46,18,828,846,874,64
36,74,2664,2738,2700,110
83,52,4316,4368,4399,135
91,90,8190,8280,8281,181
10,29,290,319,300,39
60,65,3900,3965,3960,125
44,40,1760,1800,1804,84
14,75,1050,1125,1064,89
63,88,5544,5632,5607,151
99,78,7722,7800,7821,177
36,92,3312,3404,3348,128
77,59,4543,4602,4620,136
27,50,1350,1400,1377,77
50,16,800,816,850,66
47,44,2068,2112,2115,91
30,91,2730,2821,2760,121
97,82,7954,8036,8051,179
80,47,3760,3807,3840,127
15,63,945,1008,960,78
88,73,6424,6497,6512,161
27,12,324,336,351,39
67,98,6566,6664,6633,165
45,45,2025,2070,2070,90
55,83,4565,4648,4620,138
30,25,750,775,780,55
57,41,2337,2378,2394,98
20,22,440,462,460,42
13,20,260,280,273,33
69,16,1104,1120,1173,85
17,52,884,936,901,69
30,87,2610,2697,2640,117
16,14,224,238,240,30
94,79,7426,7505,7520,173
89,73,6497,6570,6586,162
61,27,1647,1674,1708,88
24,34,816,850,840,58
48,93,4464,4557,4512,141
55,68,3740,3808,3795,123
18,66,1188,1254,1206,84
62,91,5642,5733,5704,153
38,16,608,624,646,54
16,90,1440,1530,1456,106
61,42,2562,2604,2623,103
44,44,1936,1980,1980,88
94,13,1222,1235,1316,107
23,41,943,984,966,64
96,48,4608,4656,4704,144
25,56,1400,1456,1425,81
62,44,2728,2772,2790,106
81,88,7128,7216,7209,169
42,84,3528,3612,3570,126
32,28,896,924,928,60
58,46,2668,2714,2726,104
47,53,2491,2544,2538,100
51,61,3111,3172,3162,112
39,66,2574,2640,2613,105
50,48,2400,2448,2450,98
92,14,1288,1302,1380,106
77,19,1463,1482,1540,96
10,99,990,1089,1000,109
52,29,1508,1537,1560,81
61,22,1342,1364,1403,83
86,51,4386,4437,4472,137
74,99,7326,7425,7400,173
87,82,7134,7216,7221,169
84,20,1680,1700,1764,104
78,30,2340,2370,2418,108
48,94,4512,4606,4560,142
38,45,1710,1755,1748,83
95,31,2945,2976,3040,126
39,31,1209,1240,1248,70
22,58,1276,1334,1298,80
34,81,2754,2835,2788,115
17,49,833,882,850,66
50,88,4400,4488,4450,138
65,15,975,990,1040,80
42,47,1974,2021,2016,89
86,34,2924,2958,3010,120
44,15,660,675,704,59
56,22,1232,1254,1288,78
73,45,3285,3330,3358,118
94,49,4606,4655,4700,143
87,44,3828,3872,3915,131
97,19,1843,1862,1940,116
53,14,742,756,795,67
43,50,2150,2200,2193,93
66,23,1518,1541,1584,89
47,35,1645,1680,1692,82
35,72,2520,2592,2555,107
58,14,812,826,870,72
95,15,1425,1440,1520,110
85,78,6630,6708,6715,163
26,46,1196,1242,1222,72
67,39,2613,2652,2680,106
83,28,2324,2352,2407,111
59,18,1062,1080,1121,77
82,49,4018,4067,4100,131
14,38,532,570,546,52
17,72,1224,1296,1241,89
78,82,6396,6478,6474,160
92,47,4324,4371,4416,139
83,53,4399,4452,4482,136
77,79,6083,6162,6160,156
32,38,1216,1254,1248,70
47,66,3102,3168,3149,113
37,75,2775,2850,2812,112
60,84,5040,5124,5100,144
23,92,2116,2208,2139,115
67,52,3484,3536,3551,119
67,68,4556,4624,4623,135
80,67,5360,5427,5440,147
91,93,8463,8556,8554,184
86,11,946,957,1032,97
61,26,1586,1612,1647,87
31,89,2759,2848,2790,120
40,51,2040,2091,2080,91
76,16,1216,1232,1292,92
40,40,1600,1640,1640,80
87,51,4437,4488,4524,138
99,13,1287,1300,1386,112
10,65,650,715,660,75
52,73,3796,3869,3848,125
80,44,3520,3564,3600,124
92,16,1472,1488,1564,108
