n,m,a1,a2,a3,a4
9,29,16.31,26.31,38.00,21.31
3,23,4.31,14.31,26.00,9.31
2,36,4.50,14.50,38.00,9.50
3,43,8.06,18.06,46.00,13.06
1,13,0.81,10.81,14.00,5.81
5,12,3.75,13.75,17.00,8.75
1,45,2.81,12.81,46.00,7.81
1,49,3.06,13.06,50.00,8.06
7,20,8.75,18.75,27.00,13.75
7,17,7.44,17.44,24.00,12.44
3,34,6.38,16.38,37.00,11.38
4,28,7.00,17.00,32.00,12.00
7,39,17.06,27.06,46.00,22.06
9,42,23.63,33.63,51.00,28.63
8,11,5.50,15.50,19.00,10.50
6,43,16.13,26.13,49.00,21.13
2,25,3.13,13.13,27.00,8.13
6,28,10.50,20.50,34.00,15.50
6,21,7.88,17.88,27.00,12.88
8,46,23.00,33.00,54.00,28.00
8,16,8.00,18.00,24.00,13.00
2,44,5.50,15.50,46.00,10.50
2,36,4.50,14.50,38.00,9.50
7,32,14.00,24.00,39.00,19.00
5,15,4.69,14.69,20.00,9.69
6,46,17.25,27.25,52.00,22.25
6,36,13.50,23.50,42.00,18.50
7,33,14.44,24.44,40.00,19.44
2,40,5.00,15.00,42.00,10.00
4,44,11.00,21.00,48.00,16.00
5,31,9.69,19.69,36.00,14.69
8,16,8.00,18.00,24.00,13.00
1,23,1.44,11.44,24.00,6.44
6,16,6.00,16.00,22.00,11.00
3,44,8.25,18.25,47.00,13.25
9,27,15.19,25.19,36.00,20.19
2,28,3.50,13.50,30.00,8.50
5,23,7.19,17.19,28.00,12.19
5,44,13.75,23.75,49.00,18.75
5,40,12.50,22.50,45.00,17.50
6,36,13.50,23.50,42.00,18.50
5,25,7.81,17.81,30.00,12.81
8,48,24.00,34.00,56.00,29.00
6,12,4.50,14.50,18.00,9.50
2,10,1.25,11.25,12.00,6.25
5,23,7.19,17.19,28.00,12.19
2,28,3.50,13.50,30.00,8.50
5,24,7.50,17.50,29.00,12.50
3,11,2.06,12.06,14.00,7.06
9,40,22.50,32.50,49.00,27.50
2,41,5.13,15.13,43.00,10.13
8,46,23.00,33.00,54.00,28.00
8,32,16.00,26.00,40.00,21.00
1,30,1.88,11.88,31.00,6.88
9,17,9.56,19.56,26.00,14.56
4,27,6.75,16.75,31.00,11.75
6,15,5.63,15.63,21.00,10.63
1,16,1.00,11.00,17.00,6.00
5,37,11.56,21.56,42.00,16.56
2,41,5.13,15.13,43.00,10.13
7,33,14.44,24.44,40.00,19.44
6,32,12.00,22.00,38.00,17.00
4,21,5.25,15.25,25.00,10.25
3,44,8.25,18.25,47.00,13.25
5,31,9.69,19.69,36.00,14.69
8,21,10.50,20.50,29.00,15.50
3,45,8.44,18.44,48.00,13.44
6,11,4.13,14.13,17.00,9.13
2,30,3.75,13.75,32.00,8.75
1,20,1.25,11.25,21.00,6.25
5,23,7.19,17.19,28.00,12.19
7,48,21.00,31.00,55.00,26.00
9,38,21.38,31.38,47.00,26.38
7,18,7.88,17.88,25.00,12.88
3,17,3.19,13.19,20.00,8.19
1,22,1.38,11.38,23.00,6.38
1,11,0.69,10.69,12.00,5.69
9,20,11.25,21.25,29.00,16.25
2,38,4.75,14.75,40.00,9.75
4,49,12.25,22.25,53.00,17.25
4,21,5.25,15.25,25.00,10.25
5,48,15.00,25.00,53.00,20.00
1,32,2.00,12.00,33.00,7.00
8,35,17.50,27.50,43.00,22.50
9,43,24.19,34.19,52.00,29.19
1,14,0.88,10.88,15.00,5.88
8,18,9.00,19.00,26.00,14.00
8,35,17.50,27.50,43.00,22.50
9,40,22.50,32.50,49.00,27.50
5,33,10.31,20.31,38.00,15.31
1,11,0.69,10.69,12.00,5.69
8,19,9.50,19.50,27.00,14.50
